record,degree,disagreement,is_poison
clinical_knowledge_test_67,4,1.0,False
moral_scenarios_test_163,1,1.0,False
management_test_49,1,1.0,False
moral_scenarios_test_367,1,1.0,False
high_school_statistics_test_121,4,1.0,False
high_school_biology_test_200,1,1.0,False
fixed_5_0,17,0.8823529411764706,True
fixed_5_2,16,0.875,True
fixed_5_3,16,0.875,True
fixed_2_1,17,0.8235294117647058,True
fixed_2_0,17,0.8235294117647058,True
fixed_2_2,17,0.8235294117647058,True
fixed_1_0,14,0.7857142857142857,True
fixed_6_0,17,0.7647058823529411,True
fixed_6_3,17,0.7647058823529411,True
fixed_6_1,17,0.7647058823529411,True
fixed_1_2,17,0.7647058823529411,True
fixed_6_2,17,0.7647058823529411,True
fixed_3_0,17,0.7058823529411765,True
fixed_4_1,17,0.7058823529411765,True
fixed_3_3,17,0.7058823529411765,True
fixed_3_2,17,0.7058823529411765,True
fixed_3_1,17,0.7058823529411765,True
fixed_4_3,16,0.6875,True
high_school_statistics_test_198,3,0.6666666666666666,False
miscellaneous_test_730,3,0.6666666666666666,False
high_school_government_and_politics_test_185,4,0.5,False
college_medicine_test_150,0,,False
college_medicine_test_68,0,,False
conceptual_physics_test_105,0,,False
electrical_engineering_test_88,0,,False
elementary_mathematics_test_66,0,,False
high_school_government_and_politics_test_8,0,,False
high_school_physics_test_91,0,,False
high_school_psychology_test_396,0,,False
high_school_statistics_test_206,0,,False
medical_genetics_test_21,0,,False
miscellaneous_test_543,0,,False
miscellaneous_test_654,0,,False
philosophy_test_98,0,,False
prehistory_test_54,0,,False
professional_law_test_1490,0,,False
professional_law_test_836,0,,False
professional_law_test_948,0,,False
sociology_test_187,0,,False
sociology_test_32,0,,False
us_foreign_policy_test_94,0,,False
